86,1,2,138,6,0,0,0
237,2,1,144,8,0,0,0
238,2,2,144,8,0,0,0
239,3,3,3,8,0,0,0
240,3,3,11,8,0,0,0
241,3,3,72,8,0,0,0
242,3,3,102,8,0,0,0
243,3,3,123,8,0,0,0
244,3,3,124,8,0,0,0
245,3,3,144,8,0,0,0
246,3,3,179,8,0,0,0
6,4,1,143,2,0,0,0
7,4,2,143,2,0,0,0
8,4,3,143,2,0,0,0
9,4,3,244,2,0,0,0
87,5,1,214,6,0,0,0
88,6,3,89,6,0,0,0
89,6,3,164,6,0,0,0
523,7,1,246,16,0,0,0
524,8,1,247,16,0,0,0
90,9,2,138,6,0,0,0
247,10,1,252,8,0,0,0
603,11,2,154,18,0,0,0
17,12,2,101,3,0,0,0
2825,12,3,101,3,0,0,0
582,13,1,199,17,0,0,0
583,13,3,199,17,0,0,0
584,13,3,237,17,0,0,0
525,14,1,195,16,0,0,0
526,14,2,195,16,0,0,0
2853,14,3,866,16,0,0,0
2854,14,3,862,16,0,0,0
2855,14,3,864,16,0,0,0
427,15,1,140,12,0,0,0
428,15,3,182,12,0,0,0
429,15,3,189,12,0,0,0
430,15,3,249,12,0,0,0
462,16,2,61,13,0,0,0
614,17,2,176,19,0,0,0
527,18,3,110,16,0,0,0
528,18,1,111,16,0,0,0
529,18,3,111,16,0,0,0
530,18,3,121,16,0,0,0
531,18,3,174,16,0,0,0
532,18,3,188,16,0,0,0
533,18,3,194,16,0,0,0
2839,18,3,867,16,0,0,0
431,20,2,191,12,0,0,0
194,21,1,243,7,0,0,0
416,22,1,206,11,0,0,0
688,22,5,204,0,134,0,0
689,22,5,206,0,134,0,0
690,22,5,640,0,134,0,0
463,23,3,83,13,0,0,0
464,23,3,86,13,0,0,0
465,23,3,90,13,0,0,0
466,23,3,104,13,0,0,0
467,23,3,108,13,0,0,0
468,24,1,83,13,0,0,0
469,24,2,152,13,0,0,0
393,25,1,127,10,0,0,0
394,25,2,127,10,0,0,0
91,26,1,214,6,0,0,0
92,27,2,138,6,0,0,0
93,27,3,138,6,0,0,0
94,27,3,209,6,0,0,0
384,28,1,161,9,0,0,0
64,29,1,173,5,0,0,0
248,30,2,124,8,0,0,0
691,30,5,626,0,189,0,0
249,31,1,229,8,0,0,0
95,32,2,138,6,0,0,0
666,32,3,137,20,0,0,0
667,32,3,138,20,0,0,0
668,32,3,209,20,0,0,0
669,32,3,210,20,0,0,0
96,33,1,89,6,0,0,0
585,33,1,193,17,0,0,0
670,33,1,232,20,0,0,0
534,34,1,195,16,0,0,0
535,34,2,195,16,0,0,0
504,35,1,231,15,0,0,0
250,36,2,201,8,0,0,0
536,37,1,248,16,0,0,0
432,38,2,115,12,0,0,0
537,39,1,195,16,0,0,0
2843,39,3,860,16,0,0,0
2844,39,3,861,16,0,0,0
2845,39,3,195,16,0,0,0
2846,39,3,218,16,0,0,0
2847,39,3,863,16,0,0,0
2848,39,3,867,16,0,0,0
251,40,3,47,8,0,0,0
252,40,3,66,8,0,0,0
253,40,3,94,8,0,0,0
254,40,3,102,8,0,0,0
255,40,1,122,8,0,0,0
256,40,3,123,8,0,0,0
257,40,2,124,8,0,0,0
258,40,3,124,8,0,0,0
259,40,3,125,8,0,0,0
260,40,3,138,8,0,0,0
261,40,3,187,8,0,0,0
262,40,3,213,8,0,0,0
1,41,1,245,1,0,0,0
97,42,2,214,6,0,0,0
98,43,1,137,6,0,0,0
99,43,3,137,6,0,0,0
100,43,3,138,6,0,0,0
671,43,1,209,20,0,0,0
615,44,3,17,19,0,0,0
616,44,3,43,19,0,0,0
617,44,3,63,19,0,0,0
618,44,3,68,19,0,0,0
619,44,3,185,19,0,0,0
101,45,1,89,6,0,0,0
102,45,3,89,6,0,0,0
103,45,3,103,6,0,0,0
104,45,3,119,6,0,0,0
105,45,3,138,6,0,0,0
586,45,2,98,17,0,0,0
587,45,3,98,17,0,0,0
588,45,1,193,17,0,0,0
589,45,3,193,17,0,0,0
590,45,3,199,17,0,0,0
672,45,3,180,20,0,0,0
673,45,3,210,20,0,0,0
674,45,1,232,20,0,0,0
675,45,3,232,20,0,0,0
18,46,1,242,3,0,0,0
106,48,2,214,6,0,0,0
604,49,1,154,18,0,0,0
433,50,1,249,12,0,0,0
107,51,2,138,6,0,0,0
434,52,1,249,12,0,0,0
108,53,1,214,6,0,0,0
19,54,3,25,3,0,0,0
20,54,3,92,3,0,0,0
21,54,3,131,3,0,0,0
22,54,3,132,3,0,0,0
2832,54,3,848,3,0,0,0
