1,1,19
2,2,8
3,3,8
4,4,19
5,5,8
6,6,7
7,7,7
8,8,6
9,9,1
10,10,14
11,11,8
12,12,8
13,13,20
14,14,7
15,14,19
16,15,8
17,16,9
18,17,19
19,18,14
20,19,19
21,20,8
22,21,7
23,22,19
24,23,8
25,24,7
26,25,3
27,26,8
28,27,18
29,28,6
30,29,6
31,30,8
32,31,19
33,32,19
34,33,8
35,34,6
36,35,6
37,36,6
38,37,7
39,38,10
40,39,11
41,40,8
42,41,14
43,42,7
44,43,19
45,44,14
46,45,14
47,46,11
48,47,8
49,48,7
50,48,19
51,49,19
52,50,8
53,51,7
54,52,19
55,53,19
56,54,4
57,55,19
58,56,14
59,57,11
60,58,19
61,59,19
62,60,19
63,61,13
64,62,8
65,63,19
66,64,14
67,65,8
68,66,8
69,67,19
70,68,19
71,69,8
72,70,8
73,71,13
74,72,8
75,73,19
76,74,3
77,75,16
78,76,7
79,77,12
80,78,8
81,79,14
82,80,8
83,81,6
84,82,14
85,83,13
86,84,16
87,85,8
88,86,13
89,87,8
90,88,10
91,89,6
92,90,13
93,91,8
94,92,3
95,93,19
96,94,8
97,95,6
98,96,8
99,97,6
100,98,17
101,99,19
102,100,8
103,101,3
104,102,8
105,103,6
106,104,13
107,105,8
108,106,8
109,107,16
110,108,13
111,109,16
112,110,16
113,111,16
114,112,12
115,113,16
116,114,16
117,115,12
118,116,16
119,117,15
120,118,6
121,119,6
122,120,6
123,121,16
124,122,8
125,123,8
126,124,8
127,124,15
128,125,8
129,126,1
130,127,10
131,128,10
132,129,15
133,130,11
134,131,3
135,132,3
136,133,3
137,134,8
138,135,6
139,136,7
140,137,6
141,137,20
142,138,6
143,138,7
144,138,8
145,138,10
146,138,19
147,138,20
148,139,4
149,140,12
150,141,13
151,142,8
152,143,2
153,144,8
154,145,8
155,145,16
156,146,5
157,147,5
158,148,5
159,149,5
160,150,7
161,151,18
162,152,13
163,153,10
164,154,18
165,155,15
166,156,14
167,156,14
168,157,14
169,158,14
170,159,8
171,160,6
172,161,9
173,162,11
174,163,13
175,164,6
176,165,19
177,166,12
178,166,19
179,167,8
180,168,14
181,169,19
182,170,13
183,171,8
184,172,16
185,173,5
186,174,16
187,175,19
188,176,19
189,177,15
190,178,7
191,178,19
192,179,8
193,180,20
194,181,15
195,182,12
196,183,17
197,184,5
198,185,19
199,186,8
200,187,8
201,188,16
202,189,12
203,190,12
204,191,12
205,192,12
206,193,17
207,194,16
208,195,16
209,196,16
210,197,4
211,198,9
212,199,17
213,200,5
214,201,8
215,202,5
216,203,9
217,204,11
218,205,11
219,206,11
220,207,9
221,208,4
222,209,6
223,209,20
224,210,20
225,211,3
226,212,9
227,213,8
228,214,6
229,215,15
230,216,7
231,217,18
232,218,16
233,219,8
234,220,8
235,221,6
236,222,5
237,223,19
238,224,19
239,225,20
240,226,9
241,227,7
242,228,5
243,229,8
244,230,6
245,231,15
246,232,20
247,233,2
248,234,11
249,234,16
250,235,12
251,236,17
252,237,17
253,238,10
254,239,10
255,240,10
256,241,3
257,242,3
258,243,7
259,244,2
260,245,1
261,246,16
262,247,16
263,248,16
264,249,12
265,250,2
266,251,8
267,252,8
